,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
1592,Pasquale Mazzocchi,Defender,26,1.5,Italy,Serie B,Venezia FC,Italy,Serie A,US Salernitana 1919,1.0,False
1593,Úmaro Embaló,Forward,21,1.5,Portugal,Liga Sabseg,SL Benfica B,Netherlands,Eredivisie,Fortuna Sittard,1.0,False
1594,Karol Angielski,Forward,26,1.5,Poland,Ekstraklasa,Radomiak Radom,Turkey,Süper Lig,Sivasspor,1.0,False
1595,Komnen Andric,Forward,27,1.5,Croatia,SuperSport HNL,GNK Dinamo Zagreb,France,Ligue 1,Clermont Foot 63,1.0,False
1596,Dominik Kotarski,Goalkeeper,22,1.5,Netherlands,Eredivisie,Ajax Amsterdam,Croatia,SuperSport HNL,HNK Gorica,1.0,False
1597,Gustavo Dulanto,Defender,27,1.5,Moldova,Super Liga (Phase 2),FC Sheriff Tiraspol,Latvia,Virsliga,Riga FC,1.0,False
1598,Leon Dajaku,Forward,21,1.5,Germany,Bundesliga,1.FC Union Berlin,England,Championship,Sunderland AFC,870k,False
1599,Alfredo Donnarumma,Forward,31,1.5,Italy,Serie B,Brescia Calcio,Italy,Serie B,Ternana Calcio,800k,False
1600,Alfa Semedo,Midfielder,24,1.5,Portugal,Liga Portugal,Vitória Guimarães SC,Saudi Arabia,Saudi Pro League,Al-Tai,800k,False
1601,Näis Djouahra,Forward,22,1.5,Spain,Primera Federación - Gr. II,Real Sociedad B,Croatia,SuperSport HNL,HNK Rijeka,750k,False
1602,Nadhir Benbouali,Forward,22,1.5,Algeria,Ligue Professionnelle 1,Paradou AC,Belgium,Jupiler Pro League,RSC Charleroi,750k,False
1603,Stephen Odey,Forward,24,1.5,Belgium,Jupiler Pro League,KRC Genk,Denmark,Superligaen,Randers FC,672k,False
1604,Koffi Kouao,Defender,24,1.5,Portugal,Liga Portugal,FC Vizela,France,Ligue 2,FC Metz,600k,False
1605,Bruno Duarte,Forward,26,1.5,Portugal,Liga Portugal,Vitória Guimarães SC,Saudi Arabia,Saudi Pro League,Damac FC,600k,False
1606,Alex Timossi Andersson,Forward,21,1.5,Germany,Regionalliga Bayern,FC Bayern Munich II,Netherlands,Eredivisie,SC Heerenveen,550k,False
1607,Thomas Monconduit,Midfielder,31,1.5,France,Ligue 1,FC Lorient,France,Ligue 2,AS Saint-Étienne,500k,False
1608,Mateo Barac,Defender,27,1.5,Russia,Premier Liga,FC Sochi,Russia,Premier Liga,Krylya Sovetov Samara,500k,False
1609,Gustav Berggren,Midfielder,24,1.5,Sweden,Allsvenskan,BK Häcken,Poland,Ekstraklasa,Rakow Czestochowa,500k,False
1610,Betim Fazliji,Defender,23,1.5,Switzerland,Super League,FC St. Gallen 1879,Germany,2. Bundesliga,FC St. Pauli,450k,False
1611,Yayah Kallon,Forward,21,1.5,Italy,Serie B,Genoa CFC,Italy,Serie A,Hellas Verona,400k,True
1612,Christian Makoun,Defender,22,1.5,United States,MLS,Charlotte FC,United States,MLS,New England Revolution,364k,False
1613,Wesley Gasolina,Defender,22,1.5,Italy,Serie C - A,Juventus Next Gen,Brazil,Série B,Cruzeiro Esporte Clube,350k,False
1614,Luca Itter,Defender,23,1.5,Germany,Bundesliga,SC Freiburg,Germany,2. Bundesliga,SpVgg Greuther Fürth,300k,False
1615,Grigoris Kastanos,Midfielder,24,1.5,Italy,Serie C - A,Juventus Next Gen,Italy,Serie A,US Salernitana 1919,300k,False
1616,Jhegson Méndez,Midfielder,25,1.5,United States,MLS,Orlando City SC,United States,MLS,Los Angeles FC,273k,False
1617,Damjan Bohar,Forward,30,1.5,Croatia,SuperSport HNL,NK Osijek,Poland,Ekstraklasa,Zaglebie Lubin,250k,False
1618,Bradley de Nooijer,Defender,24,1.5,Romania,SuperLiga,FCV Farul Constanta,Bulgaria,efbet Liga,CSKA-Sofia,200k,False
1619,Mostafa Fathi,Forward,28,1.5,Saudi Arabia,Saudi Pro League,Al-Taawoun FC,Egypt,Premier League,Pyramids FC,200k,True
1620,Cristian Ferreira,Midfielder,22,1.5,Argentina,Liga Profesional,CA River Plate,Argentina,Liga Profesional,CA Newell's Old Boys,190k,True
1621,Enis Destan,Forward,20,1.5,Turkey,Süper Lig,Trabzonspor,Poland,Ekstraklasa,Warta Poznan,75k,True
1622,Armindo Sieb,Forward,19,1.5,Germany,Regionalliga Bayern,FC Bayern Munich II,Germany,2. Bundesliga,SpVgg Greuther Fürth,50k,False
1623,Frederik Jäkel,Defender,21,1.5,Germany,Bundesliga,RB Leipzig,Germany,2. Bundesliga,Arminia Bielefeld,0,True
1624,Ahmad Benali,Midfielder,30,1.5,Italy,Serie C - C,FC Crotone,Italy,Serie B,Brescia Calcio,0,False
1625,Tom Barkhuizen,Forward,28,1.5,England,Championship,Preston North End,England,League One,Derby County,0,False
1626,Faride Alidou,Forward,20,1.5,Germany,2. Bundesliga,Hamburger SV,Germany,Bundesliga,Eintracht Frankfurt,0,False
1627,Jean-Kévin Augustin,Forward,25,1.5,France,Ligue 1,FC Nantes,Switzerland,Super League,FC Basel 1893,0,False
1628,Rick van Drongelen,Defender,23,1.5,Germany,Bundesliga,1.FC Union Berlin,Germany,2. Bundesliga,FC Hansa Rostock,0,True
1629,Maya Yoshida,Defender,33,1.5,Italy,Serie A,UC Sampdoria,Germany,Bundesliga,FC Schalke 04,0,False
1630,Ragnar Ache,Forward,23,1.5,Germany,Bundesliga,Eintracht Frankfurt,Germany,2. Bundesliga,SpVgg Greuther Fürth,0,True
1631,Simen Jukleröd,Defender,28,1.5,Belgium,Jupiler Pro League,KRC Genk,Norway,Eliteserien,Vålerenga Fotball,0,False
1632,Mitchell Weiser,Defender,28,1.5,Germany,Bundesliga,Bayer 04 Leverkusen,Germany,Bundesliga,SV Werder Bremen,0,False
1633,Eran Zahavi,Forward,34,1.5,Netherlands,Eredivisie,PSV Eindhoven,Israel,Ligat ha'Al,Maccabi Tel Aviv,0,False
1634,John Souttar,Defender,25,1.5,Scotland,Premiership,Heart of Midlothian FC,Scotland,Premiership,Rangers FC,0,False
1635,Malik Tillman,Midfielder,20,1.5,Germany,Bundesliga,Bayern Munich,Scotland,Premiership,Rangers FC,0,True
1636,Douglas Tanque,Forward,28,1.5,United Arab Emirates,UAE Pro League,Khor Fakkan,Turkey,1.Lig,Samsunspor,0,False
1637,Kalifa Coulibaly,Forward,31,1.5,France,Ligue 1,FC Nantes,Serbia,Super liga Srbije,Red Star Belgrade,0,False
1638,Lukas Sadilek,Midfielder,26,1.5,Czech Republic,Fortuna Liga,1.FC Slovacko,Czech Republic,Fortuna Liga,AC Sparta Prague,0,False
1639,Amin Younes,Forward,29,1.5,Saudi Arabia,Saudi Pro League,Ettifaq FC,Netherlands,Eredivisie,FC Utrecht,0,True
1640,Matija Nastasic,Defender,29,1.5,Italy,Serie A,ACF Fiorentina,Spain,LaLiga,RCD Mallorca,0,False
1641,Kevin Strootman,Midfielder,32,1.5,France,Ligue 1,Olympique Marseille,Italy,Serie B,Genoa CFC,0,True
1642,Ivan Santini,Forward,33,1.5,Saudi Arabia,Saudi Pro League,Al-Fateh SC,Switzerland,Super League,FC Zürich,0,False
1643,Jonas Toró,Forward,23,1.5,Brazil,Série A,São Paulo Futebol Clube,Greece,Super League 1,Panathinaikos Athens,0,False
1644,Alexis Trouillet,Midfielder,21,1.5,France,Ligue 1,OGC Nice,Greece,Super League 1,Panathinaikos Athens,0,False
1645,Steve Mandanda,Goalkeeper,37,1.5,France,Ligue 1,Olympique Marseille,France,Ligue 1,Stade Rennais FC,0,False
1646,Milan Djuric,Forward,32,1.5,Italy,Serie A,US Salernitana 1919,Italy,Serie A,Hellas Verona,0,False
1647,Youssouf M'Changama,Midfielder,31,1.5,France,Ligue 2,EA Guingamp,France,Ligue 1,AJ Auxerre,0,False
1648,Benoît Costil,Goalkeeper,35,1.5,France,Ligue 2,FC Girondins Bordeaux,France,Ligue 1,AJ Auxerre,0,False
1649,Michael Folorunsho,Midfielder,24,1.5,Italy,Serie A,SSC Napoli,Italy,Serie B,SSC Bari,0,True
1650,Aurélien Scheidler,Forward,24,1.5,France,Ligue 2,Dijon FCO,Italy,Serie B,SSC Bari,0,False
1651,Steven Sessegnon,Defender,22,1.5,England,Premier League,Fulham FC,England,League One,Charlton Athletic,0,True
1652,Juanjo Narváez,Forward,27,1.5,Spain,LaLiga2,Real Zaragoza,Spain,LaLiga,Real Valladolid CF,0,False
1653,Burak Yilmaz,Forward,36,1.5,France,Ligue 1,LOSC Lille,Netherlands,Eredivisie,Fortuna Sittard,0,False
1654,Joel Robles,Goalkeeper,32,1.5,Spain,LaLiga,Real Betis Balompié,England,Premier League,Leeds United,0,False
1655,Filip Stojkovic,Defender,29,1.5,Austria,Bundesliga,Rapid Vienna,Austria,Bundesliga,LASK,0,False
1656,Marin Ljubicic,Forward,20,1.5,Croatia,SuperSport HNL,HNK Hajduk Split,Austria,Bundesliga,LASK,0,True
1657,Vitolo,Forward,32,1.5,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga2,UD Las Palmas,0,True
1658,Aden Flint,Defender,32,1.5,Wales,Championship,Cardiff City,England,Championship,Stoke City,0,False
1659,Gavin Kilkenny,Midfielder,22,1.5,England,Premier League,AFC Bournemouth,England,Championship,Stoke City,0,True
1660,Dwight Gayle,Forward,32,1.5,England,Premier League,Newcastle United,England,Championship,Stoke City,0,False
1661,Liam Delap,Forward,19,1.5,England,Premier League 2,Manchester City U21,England,Championship,Stoke City,0,True
1662,Victor Cuesta,Defender,34,1.5,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Botafogo de Futebol e Regatas,0,False
1663,Marçal,Defender,33,1.5,England,Premier League,Wolverhampton Wanderers,Brazil,Série A,Botafogo de Futebol e Regatas,0,False
1664,Nahuel Ferraresi,Defender,23,1.5,England,Premier League 2,Manchester City U21,Brazil,Série A,São Paulo Futebol Clube,0,True
1665,Soner Aydogdu,Midfielder,31,1.5,Turkey,Süper Lig,Basaksehir FK,Turkey,Süper Lig,Antalyaspor,0,False
1666,Ömer Toprak,Defender,32,1.5,Germany,Bundesliga,SV Werder Bremen,Turkey,Süper Lig,Antalyaspor,0,False
1667,Callum O'Dowda,Midfielder,27,1.5,England,Championship,Bristol City,Wales,Championship,Cardiff City,0,False
1668,Peter Etebo,Midfielder,26,1.5,England,Championship,Stoke City,Greece,Super League 1,Aris Thessaloniki,0,True
1669,Przemyslaw Wisniewski,Defender,23,1.5,Poland,Ekstraklasa,Górnik Zabrze,Italy,Serie B,Venezia FC,0,False
1670,Jimmy Giraudon,Defender,30,1.5,France,Ligue 1,ESTAC Troyes,France,Ligue 2,AS Saint-Étienne,0,False
1671,Victor Lobry,Midfielder,27,1.5,France,Ligue 2,Pau FC,France,Ligue 2,AS Saint-Étienne,0,False
1672,Lenny Pintor,Forward,21,1.5,France,Ligue 1,Olympique Lyon,France,Ligue 2,AS Saint-Étienne,0,False
1673,Kyle Duncan,Defender,24,1.5,Belgium,Jupiler Pro League,KV Oostende,United States,MLS,New York Red Bulls,0,True
1674,Brahima Ouattara,Midfielder,19,1.5,France,N3 - Corse-Méditer.,OGC Nice B,Switzerland,Challenge League,Neuchâtel Xamax FCS,0,False
1675,Iñigo Vicente,Forward,24,1.5,Spain,LaLiga,Athletic Bilbao,Spain,LaLiga2,Racing Santander,0,False
1676,Jordi Mboula,Forward,23,1.5,Spain,LaLiga,RCD Mallorca,Spain,LaLiga2,Racing Santander,0,True
1677,Mehdi Zerkane,Forward,23,1.5,France,Ligue 2,FC Girondins Bordeaux,Greece,Super League 1,OFI Crete FC,0,True
1678,Fernandinho,Midfielder,37,1.5,England,Premier League,Manchester City,Brazil,Série A,Club Athletico Paranaense,0,False
1679,Check Oumar Diakité,Midfielder,19,1.5,France,Ligue 2,Paris FC,France,Ligue 2,AC Le Havre,0,True
1680,Terence Kongolo,Defender,28,1.5,England,Premier League,Fulham FC,France,Ligue 2,AC Le Havre,0,True
1681,Gabriel,Goalkeeper,29,1.5,Italy,Serie A,US Lecce,Brazil,Série A,Coritiba Foot Ball Club,0,False
1682,Saido Berahino,Forward,29,1.5,England,League One,Sheffield Wednesday,Cyprus,Protathlima Cyta,AEL Limassol,0,False
1683,Marko Tolic,Midfielder,26,1.5,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Slovenia,Prva Liga,NK Maribor,0,True
1684,Nemanja Miletic,Defender,31,1.5,Serbia,Super liga Srbije,FK Partizan Belgrade,Cyprus,Protathlima Cyta,Omonia Nicosia,0,False
1685,Roman Bezus,Midfielder,31,1.5,Belgium,Jupiler Pro League,KAA Gent,Cyprus,Protathlima Cyta,Omonia Nicosia,0,False
1686,Anastasios Chatzigiovanis,Forward,25,1.5,Greece,Super League 1,Panathinaikos Athens,Turkey,Süper Lig,MKE Ankaragücü,0,False
1687,Pedrinho,Midfielder,29,1.5,Portugal,Liga Portugal,Gil Vicente FC,Turkey,Süper Lig,MKE Ankaragücü,0,False
1688,Gökhan Akkan,Goalkeeper,27,1.5,Turkey,1.Lig,Caykur Rizespor,Turkey,Süper Lig,MKE Ankaragücü,0,True
1689,Ivan Ignatjev,Forward,23,1.5,Russia,1.Division,Rubin Kazan,Russia,Premier Liga,Lokomotiv Moscow,0,False
1690,Sinan Bolat,Goalkeeper,33,1.5,Belgium,Jupiler Pro League,KAA Gent,Belgium,Jupiler Pro League,KVC Westerlo,0,False
1691,Dorgeles Nene,Forward,19,1.5,Austria,Bundesliga,Red Bull Salzburg,Belgium,Jupiler Pro League,KVC Westerlo,0,True
1692,Fábio Gomes,Forward,25,1.5,Brazil,Série A,Clube Atlético Mineiro,Brazil,Série B,Clube de Regatas Vasco da Gama,0,True
1693,Ryan Fredericks,Defender,29,1.5,England,Premier League,West Ham United,England,Premier League,AFC Bournemouth,0,False
1694,Rey Manaj,Forward,25,1.5,Spain,LaLiga,FC Barcelona,England,Championship,Watford FC,0,False
1695,Marlon Pack,Midfielder,31,1.5,Wales,Championship,Cardiff City,England,League One,Portsmouth FC,0,False
1696,George Honeyman,Midfielder,27,1.5,England,Championship,Hull City,England,Championship,Millwall FC,0,False
1697,Naby Sarr,Defender,29,1.5,England,Championship,Huddersfield Town,England,Championship,Reading FC,0,False
1698,Arthur Okonkwo,Goalkeeper,20,1.5,England,Premier League 2,Arsenal FC U21,England,League Two,Crewe Alexandra,0,True
1699,Luis Binks,Defender,20,1.5,Italy,Serie A,Bologna FC 1909,Italy,Serie B,Como 1907,0,True
1700,Rubén Yáñez,Goalkeeper,28,1.5,Spain,LaLiga,Getafe CF,Spain,LaLiga2,Málaga CF,0,False
1701,Ante Palaversa,Midfielder,22,1.5,England,Premier League,Manchester City,France,Ligue 1,ESTAC Troyes,0,False
1702,Andrea Favilli,Forward,25,1.5,Italy,Serie B,Genoa CFC,Italy,Serie B,Ternana Calcio,0,True
1703,Clément Vidal,Defender,22,1.5,France,Ligue 1,Montpellier HSC,France,Ligue 1,AC Ajaccio,0,False
1704,Mark Diemers,Midfielder,28,1.5,Netherlands,Eredivisie,Feyenoord Rotterdam,Netherlands,Eredivisie,FC Emmen,0,True
1705,Davide Diaw,Forward,30,1.5,Italy,Serie A,AC Monza,Italy,Serie B,Modena FC,0,True
1706,Antonio Barreca,Defender,27,1.5,Monaco,Ligue 1,AS Monaco,Italy,Serie B,Cagliari Calcio,0,False
1707,Lautaro Blanco,Defender,23,1.5,Spain,LaLiga,Elche CF,Argentina,Liga Profesional,CA Rosario Central,0,True
1708,Himad Abdelli,Midfielder,22,1.5,France,Ligue 2,AC Le Havre,France,Ligue 1,Angers SCO,0,False
1709,Tiago Gouveia,Forward,21,1.5,Portugal,Liga Portugal,SL Benfica,Portugal,Liga Portugal,GD Estoril Praia,0,True
1710,Federico Fernández,Defender,33,1.5,England,Premier League,Newcastle United,Spain,LaLiga,Elche CF,0,False
1711,Peru Nolaskoain,Midfielder,23,1.5,Spain,LaLiga,Athletic Bilbao,Spain,LaLiga2,SD Eibar,0,True
1712,Gaspar Campos,Forward,22,1.5,Spain,LaLiga2,Sporting Gijón,Spain,LaLiga2,Burgos CF,0,True
1713,Brayan Angulo,Defender,32,1.5,Mexico,Liga MX Clausura,Club Tijuana,Mexico,Liga MX Clausura,Deportivo Toluca,0,False
1714,Mateus Sarará,Midfielder,20,1.5,Brazil,Série B,Grêmio Foot-Ball Porto Alegrense,Brazil,Série A,Avaí FC,0,True
1715,Leonardo Sernicola,Defender,24,1.5,Italy,Serie A,US Sassuolo,Italy,Serie A,US Cremonese,0,False
1716,Óscar Vanegas,Defender,26,1.5,Mexico,Liga MX Clausura,Deportivo Toluca,Colombia,Liga DIMAYOR II,Millonarios FC,0,False
1717,Cristian Ortíz,Forward,29,1.5,Mexico,Liga MX Clausura,Club Tijuana,Argentina,Liga Profesional,Defensa y Justicia,0,True
1718,Anderson Silva,Forward,24,1.5,China,Super League,Beijing Guoan,Portugal,Liga Portugal,Vitória Guimarães SC,0,False
1719,Ali Alipour,Forward,26,1.5,Portugal,Liga Portugal,CS Marítimo,Portugal,Liga Portugal,Gil Vicente FC,0,False
1720,Stanislav Kritsyuk,Goalkeeper,31,1.5,Russia,Premier Liga,Zenit St. Petersburg,Portugal,Liga Portugal,Gil Vicente FC,0,False
1721,Adrián Marín,Defender,25,1.5,Spain,LaLiga2,Granada CF,Portugal,Liga Portugal,Gil Vicente FC,0,False
1722,Cristo González,Forward,24,1.5,Italy,Serie A,Udinese Calcio,Spain,LaLiga2,Sporting Gijón,0,True
1723,Cote,Defender,32,1.5,Spain,LaLiga,CA Osasuna,Spain,LaLiga2,Sporting Gijón,0,False
1724,Alonso Aceves,Defender,21,1.5,Mexico,Liga MX Clausura,CF Pachuca,Spain,LaLiga2,Real Oviedo,0,True
1725,Sergi Enrich,Forward,32,1.5,Spain,LaLiga2,SD Ponferradina,Spain,LaLiga2,Real Oviedo,0,False
1726,Marcelo Flores,Midfielder,18,1.5,England,Premier League 2,Arsenal FC U21,Spain,LaLiga2,Real Oviedo,0,True
1727,Jonas Toró,Forward,23,1.5,Greece,Super League 1,Panathinaikos Athens,Greece,Super League 1,APO Levadiakos,0,True
1728,Fede San Emeterio,Midfielder,25,1.5,Spain,LaLiga,Real Valladolid CF,Spain,LaLiga,Cádiz CF,0,False
1729,Alan Dzagoev,Midfielder,32,1.5,Russia,Premier Liga,CSKA Moscow,Russia,1.Division,Rubin Kazan,0,False
1730,Vagner,Forward,26,1.5,France,Ligue 2,FC Metz,Belgium,Jupiler Pro League,RFC Seraing,0,True
1731,Federico Proia,Midfielder,26,1.5,Italy,Serie C - A,LR Vicenza,Italy,Serie B,SPAL,0,True
1732,Jón Dagur Thorsteinsson,Forward,23,1.5,Denmark,Superligaen,Aarhus GF,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,0,False
1733,Arnór Ingvi Traustason,Midfielder,29,1.5,United States,MLS,New England Revolution,Sweden,Allsvenskan,IFK Norrköping,0,False
1734,Léo Sena,Midfielder,26,1.5,Italy,Serie A,Spezia Calcio,Brazil,Série A,Goiás EC,0,False
1735,Yan Eteki,Midfielder,24,1.5,Spain,LaLiga2,Granada CF,Portugal,Liga Portugal,Casa Pia AC,0,False
1736,César Pinares,Midfielder,31,1.5,Turkey,1.Lig,Altay SK,Chile,Primera División,CD Universidad Católica,0,False
1737,Luther Singh,Forward,25,1.5,Denmark,Superligaen,FC Copenhagen,Portugal,Liga Portugal,GD Chaves,0,True
1738,Alonso Escoboza,Defender,29,1.5,Mexico,Liga MX Clausura,CF América,Mexico,Liga MX Clausura,CD Cruz Azul,0,False
1739,Reziuan Mirzov,Forward,29,1.5,Russia,Premier Liga,Spartak Moscow,Russia,Premier Liga,FK Khimki,0,False
1740,Yusuf Sari,Forward,23,1.5,Turkey,1.Lig,Caykur Rizespor,Turkey,Süper Lig,Adana Demirspor,0,False
1741,Islam Slimani,Forward,34,1.5,Portugal,Liga Portugal,Sporting CP,France,Ligue 1,Stade Brestois 29,0,False
1742,Lazare Amani,Midfielder,24,1.5,Belgium,Jupiler Pro League,RSC Charleroi,Belgium,Jupiler Pro League,Royale Union Saint Gilloise,0,False
1743,Simon Adingra,Forward,20,1.5,England,Premier League,Brighton & Hove Albion,Belgium,Jupiler Pro League,Royale Union Saint Gilloise,0,True
1744,Simy,Forward,30,1.5,Italy,Serie A,US Salernitana 1919,Italy,Serie B,Benevento Calcio,0,True
1745,Arturo Calabresi,Defender,26,1.5,Italy,Serie A,US Lecce,Italy,Serie B,Pisa Sporting Club,0,False
1746,Zeljko Gavric,Forward,21,1.5,Hungary,NB I.,Ferencvárosi TC,Slovakia,Fort. Liga - Champ. G.,DAC Dunajska Streda,0,True
1747,Peter Zulj,Midfielder,29,1.5,Turkey,Süper Lig,Basaksehir FK,China,Super League,Changchun Yatai,0,False
1748,David Barbona,Forward,27,1.5,Mexico,Liga MX Clausura,Club Tijuana,Mexico,Liga MX Clausura,Querétaro FC,0,True
1749,Andre Poko,Midfielder,29,1.5,Turkey,1.Lig,Altay SK,Saudi Arabia,Saudi Pro League,Khaleej FC,0,False
1750,Salvatore Sirigu,Goalkeeper,35,1.5,Italy,Serie B,Genoa CFC,Italy,Serie A,SSC Napoli,0,False
1751,Samuel Owusu,Forward,26,1.5,Saudi Arabia,Saudi Pro League,Al-Fayha FC,Serbia,Super liga Srbije,FK Čukarički,0,False
1752,Luiz Phellype,Forward,28,1.5,Portugal,Liga Portugal,Sporting CP,Japan,J1 League,FC Tokyo,0,True
1753,Braian Ojeda,Midfielder,22,1.5,England,Premier League,Nottingham Forest,United States,MLS,Real Salt Lake City,0,True
1754,Patryk Szysz,Forward,24,1.5,Poland,Ekstraklasa,Zaglebie Lubin,Turkey,Süper Lig,Basaksehir FK,0,False
1755,Sinan Kurt,Midfielder,27,1.5,Turkey,Süper Lig,Adana Demirspor,Turkey,1.Lig,Eyüpspor,0,False
1756,Recep Niyaz,Midfielder,27,1.5,Turkey,Süper Lig,Gaziantep FK,Turkey,1.Lig,Eyüpspor,0,False
1757,Zé Luís,Forward,31,1.5,Saudi Arabia,Saudi Pro League,Al-Taawoun FC,Turkey,Süper Lig,Hatayspor,0,False
1758,Riccardo Ciervo,Forward,20,1.5,Italy,Serie A,US Sassuolo,Italy,Serie B,Frosinone Calcio,0,True
1759,Roberto Insigne,Forward,28,1.5,Italy,Serie B,Benevento Calcio,Italy,Serie B,Frosinone Calcio,0,False
1760,John Mary,Forward,29,1.5,Saudi Arabia,Saudi Pro League,Al-Shabab FC,Japan,J1 League,Avispa Fukuoka,0,False
1761,Guido Carrillo,Forward,31,1.5,Spain,LaLiga,Elche CF,China,Super League,Henan FC,0,False
1762,Marcinho,Defender,26,1.5,Cyprus,Protathlima Cyta,Pafos FC,Brazil,Série B,Esporte Clube Bahia,0,True
1763,Jandro Orellana,Midfielder,21,1.5,Spain,Primera Federación - Gr. II,FC Barcelona Atlètic,Andorra,LaLiga2,FC Andorra,0,False
1764,Germán Valera,Forward,20,1.5,Spain,Segunda Federación - Gr. V,Atlético de Madrid B,Andorra,LaLiga2,FC Andorra,0,True
1765,Rómulo Otero,Midfielder,29,1.5,Mexico,Liga MX Clausura,CD Cruz Azul,Brazil,Série A,Fortaleza Esporte Clube,0,False
1766,Szabolcs Schön,Forward,21,1.5,United States,MLS,FC Dallas,Hungary,NB I.,MOL Fehérvár FC,0,False
1767,Yuriy Gazinskiy,Midfielder,33,1.5,Russia,Premier Liga,FK Krasnodar,Russia,Premier Liga,Ural Yekaterinburg,0,False
1768,Riad Bajic,Forward,28,1.5,Italy,Serie A,Udinese Calcio,Turkey,Süper Lig,Giresunspor,0,False
1769,Sergio Carreira,Defender,21,1.5,Spain,LaLiga,Celta de Vigo,Spain,LaLiga2,Villarreal CF B,0,True
1770,Zé Carlos,Defender,23,1.5,Portugal,Liga Portugal,SC Braga,Spain,LaLiga2,UD Ibiza,0,True
1771,Mateusz Bogusz,Midfielder,21,1.5,England,Premier League,Leeds United,Spain,LaLiga2,UD Ibiza,0,True
1772,Michael Krmencik,Forward,29,1.5,Belgium,Jupiler Pro League,Club Brugge KV,Indonesia,Liga 1,Persija Jakarta,0,False
1773,Munir,Goalkeeper,33,1.5,Turkey,Süper Lig,Hatayspor,Saudi Arabia,Saudi Pro League,Al-Wehda FC,0,False
1774,Moussa Wagué,Defender,23,1.5,Spain,LaLiga,FC Barcelona,Croatia,SuperSport HNL,HNK Gorica,0,False
1775,Ivan Saranic,Forward,19,1.5,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Slovenia,Prva Liga,NK Bravo,0,True
1776,Denys Favorov,Defender,31,1.5,Ukraine,Premier Liga,Zorya Lugansk,Poland,3 Liga - Group IV,Wieczysta Krakow,0,False
1777,Felipe Caicedo,Forward,33,1.5,Italy,Serie B,Genoa CFC,Saudi Arabia,Saudi Pro League,Abha Club,0,False
1778,Nicholas Gioacchini,Forward,21,1.5,France,Ligue 2,SM Caen,United States,MLS,Orlando City SC,0,False
1779,Raúl Gudiño,Goalkeeper,26,1.5,Mexico,Liga MX Clausura,Deportivo Guadalajara,United States,MLS,Atlanta United FC,0,False
1780,Giorgio Chiellini,Defender,37,1.5,Italy,Serie A,Juventus FC,United States,MLS,Los Angeles FC,0,False
1781,Gabaski,Goalkeeper,33,1.5,Egypt,Premier League,Zamalek SC,Egypt,Premier League,Bank El Ahly,0,False
1782,Roman Bürki,Goalkeeper,31,1.5,Germany,Bundesliga,Borussia Dortmund,United States,Without League,St. Louis CITY SC,0,False
1783,Yoel Bárcenas,Forward,28,1.5,Mexico,Liga MX Clausura,Club Tijuana,Mexico,Liga MX Clausura,Mazatlán FC,0,False
1784,Bruno Sávio,Midfielder,28,1.0,Bolivia,División Profesional Clausura,Bolívar La Paz,Egypt,Premier League,El Ahly Cairo,1.48,False
1785,Kerem Atakan Kesgin,Midfielder,21,1.0,Turkey,Süper Lig,Sivasspor,Turkey,Süper Lig,Besiktas JK,1.4,False
1786,Christopher Scott,Midfielder,20,1.2,Germany,Regionalliga Bayern,FC Bayern Munich II,Belgium,Jupiler Pro League,Royal Antwerp FC,1.4,False
1787,Jesse Joronen,Goalkeeper,29,1.4,Italy,Serie B,Brescia Calcio,Italy,Serie B,Venezia FC,1.25,False
1788,Nahuel Estévez,Midfielder,26,1.4,Italy,Serie C - C,FC Crotone,Italy,Serie B,Parma Calcio 1913,1.0,False
1789,Mirko Pigliacelli,Goalkeeper,29,1.4,Romania,SuperLiga,Universitatea Craiova,Italy,Serie B,Palermo FC,500k,False
1790,Fabio Maistro,Midfielder,24,1.4,Italy,Serie A,SS Lazio,Italy,Serie B,SPAL,500k,False
1791,Federico Barba,Defender,29,1.4,Italy,Serie B,Benevento Calcio,Italy,Serie B,Pisa Sporting Club,500k,False
1792,Juan Pablo Álvarez,Forward,26,1.4,Argentina,Liga Profesional,CA Banfield,Argentina,Liga Profesional,CA Colon,285k,True
1793,Kenan Karaman,Forward,28,1.4,Turkey,Süper Lig,Besiktas JK,Germany,Bundesliga,FC Schalke 04,0,False
1794,Dor Peretz,Midfielder,27,1.4,Italy,Serie B,Venezia FC,Israel,Ligat ha'Al,Maccabi Tel Aviv,0,False
1795,Luigi Sepe,Goalkeeper,31,1.4,Italy,Serie B,Parma Calcio 1913,Italy,Serie A,US Salernitana 1919,0,False
1796,Claud Adjapong,Defender,24,1.4,Italy,Serie A,US Sassuolo,Italy,Serie B,Ascoli Calcio,0,False
1797,Stjepan Loncar,Midfielder,25,1.4,Hungary,NB I.,Ferencvárosi TC,Belgium,Jupiler Pro League,KV Kortrijk,0,True
1798,Tyronne Ebuehi,Defender,26,1.4,Portugal,Liga Sabseg,SL Benfica B,Italy,Serie A,FC Empoli,0,False
